News_ID,Date,Subject,Title,Summary,Body,Short_link
832026,۱۴۰۱/۰۱/۰۴,سرگرمی,تست دقت چشم: فولکس در تعمیرگاه (تصویر),,"چقدر با دقت به پیرامون خود نگاه می کنید. این تست، می تواند دقت بصری شما را تقویت کند و در عین حال یک سرگرمی است و فرصتی برای دور هم بودن با اعضاء خانواده و دوستان.حالا با دقت به این تصویر شلوغ نگاه کنید. 7 آدم، یک عروسک و یک گربه در آن بیابید. (چند تاشون خیلی واضحن ولی برای بقیه دقت بیشتری نیازه.)
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
..
.
.


 تست سرعت عملکرد چشم: خرگوش پنهان شده در میان گربه ها را بیابید (تصویر) 


                            ",https://www.asriran.com/003URm
832204,۱۴۰۱/۰۱/۰۴,اقتصادی,افزایش ۲۳ درصدی مصرف بنزین کشور,در روز سوم فرودین‌ماه سال ۱۴۰۱، ۱۱۳ میلیون و ۸۰۰ هزار لیتر بنزین در کشور توزیع شده است.,مدیرعامل شرکت ملی پخش فرآورده‌های نفتی گفت: میانگین توزیع بنزین کشور در فاصله روز‌های ۲۵ اسفند ۱۴۰۰ تا سوم فروردین‌ماه ۱۴۰۱، ۱۱۲ میلیون و ۴۰۰ هزار لیتر بوده است.به گزارش ایسنا، کرامت ویس کرمی اعلام کرد: میانگین مصرف بنزین در فاصله روز‌های مشابه پارسال (۲۵ اسفندماه سال ۹۹ تا سوم فروردین‌ماه ۱۴۰۰)، ۹۱ میلیون و ۵۰۰ هزار لیتر بوده است که این عدد حاکی از افزایش ۲۳ درصدی مصرف بنزین کشور در تعطیلات جاری تا روز سوم فروردین‌ماه است.وی تاکید کرد: در روز سوم فرودین‌ماه سال ۱۴۰۱، ۱۱۳ میلیون و ۸۰۰ هزار لیتر بنزین در کشور توزیع شده است.به گزارش ایسنا، مصرف بنزین کشور در دومین روز فروردین ماه ۱۴۰۱، ۱۱۳ میلیون لیتر و در روز یکم فروردین‌ماه، ۸۹ میلیون لیتر بوده است؛ مصرف بنزین کشور همچنین در روز ۲۸ اسفندماه ۱۴۰۰ با ثبت رکوردی تازه، به ۱۳۱ میلیون لیتر رسید.                           ,https://www.asriran.com/003UUe
832203,۱۴۰۱/۰۱/۰۴,بین الملل,بایدن خواستار اخراج روسیه از گروه ۲۰ شد,روسیه همچنین اعلام کرده اوکراین به تعهداتش ذیل توافقات مینسک که در سال‌های ۲۰۱۴ و ۲۰۱۵ برای حل مناقشه‌های موجود میان جدایی‌خواهان و کی‌یف حاصل شده بود عمل نکرده است.,رئیس‌جمهور آمریکا در اجلاس سران ناتو خواستار اخراج روسیه از گروه ۲۰ به دلیل حمله به اوکراین شد.به گزارش سرویس بین‌الملل خبرگزاری فارس، جو بایدن، رئیس‌جمهور ایالات متحده آمریکا امروز پنجشنبه (۴ فروردین) خواستار اخراج روسیه از گروه ۲۰ شد.بایدن همچنین گفت چنانچه روسیه در اوکراین از سلاح شیمیایی استفاده کند ناتو به آن پاسخ خواهد داد. او همچنین در راستای تلاش برای جلب حمایت چین از تحریم‌ها علیه روسیه مدعی شد که چین می‌داند آینده اقتصادی این کشور بیشتر به غرب گره خورده تا روسیه.روسیه از روز ۵ اسفند (۲۴ فوریه) دستور حمله نظامی به اوکراین را صادر کرد. این تحول چند روز بعد از آن رخ داد که مسکو رسماً استقلال جمهوری‌های «دونتسک» و «لوهانسک» در شرق اوکراین را به رسمیت شناخت. ولادیمیر پوتین، رئیس‌جمهور روسیه هدف از عملیات نظامی کشورش را «غیرنظامی کردن اوکراین» و «نازی‌زدایی» از این کشور اعلام کرد.روسیه همچنین اعلام کرده اوکراین به تعهداتش ذیل توافقات مینسک که در سال‌های ۲۰۱۴ و ۲۰۱۵ برای حل مناقشه‌های موجود میان جدایی‌خواهان و کی‌یف حاصل شده بود عمل نکرده است.اوکراین ساعاتی بعد از حمله روسیه اعلام کرد تمامی ارتباطات دیپلماتیک با این کشور را قطع کرده است. کشور‌های غربی در واکنش به اقدام نظامی روسیه تا کنون در چندین نوبت تحریم‌هایی را علیه اکثر نهاد‌های مالی، بخش انرژی و نخبگان سیاسی مسکو اعلام کرده و از جمله ارتباط چند بانک این کشور با سامانه پیام‌رسان بانکی سوئیفت را قطع کرده‌اند                           ,https://www.asriran.com/003UUd
832202,۱۴۰۱/۰۱/۰۴,عمومی,مقام معظم رهبری: بعضی برخوردها با طنز، بدخواهی است (فیلم),مقام معظم رهبری در دیدار جمعی از طنزپردازها: بعضی برخوردها با طنز، بدخواهی است.,کد ویدیو  دانلود    فیلم اصلی                                     ,https://www.asriran.com/003UUc
832201,۱۴۰۱/۰۱/۰۴,اجتماعی ,قالیباف: حداقل حقوق سربازان ۳ میلیون و ۳۶۰ هزار تومان است,بر اساس مصوبه مجلس در بودجه۱۴۰۱، عموم سربازان حداقل ۳ میلیون و ۳۶۰ هزار تومان و سربازان متاهل حداقل ۵ میلیون تومان (برابر با حداقل حقوق کارمندی با احتساب کسورات) حقوق خواهند گرفت.»,رییس مجلس شورای اسلامی گفت که بر اساس مصوبه مجلس در بودجه۱۴۰۱، عموم سربازان حداقل ۳ میلیون و ۳۶۰ هزار تومان و سربازان متاهل حداقل ۵ میلیون تومان حقوق خواهند گرفت.به گزارش ایسنا، محمدباقر قالیباف در مطلبی در صفحه توییتر خود نوشت: «وضعیت معیشتی سربازان و دریافتی‌های ناچیزی که حتی کفاف رفت‌وآمد و حداقلی‌ترین هزینه‌های آن‌ها را نمی‌داد، سال‌ها بی‌تغییر مانده بود و تحول جدی و کوتاه‌مدت در آن وضعیت، دور از دسترس به نظر می‌رسید. مجلس یازدهم از دو سال گذشته تا کنون حقوق سربازان را بیش از ۸ برابر افزایش داده است.بر اساس مصوبه مجلس در بودجه۱۴۰۱، عموم سربازان حداقل ۳ میلیون و ۳۶۰ هزار تومان و سربازان متاهل حداقل ۵ میلیون تومان (برابر با حداقل حقوق کارمندی با احتساب کسورات) حقوق خواهند گرفت.»قالیباف در این توییت از هشتگ «گزارش بودجه» استفاده کرده است.                           ,https://www.asriran.com/003UUb
832200,۱۴۰۱/۰۱/۰۴,سیاست خارجی,امیرعبداللهیان: در صورت رسیدن به نقطه پایانی توافق همه کشور‌های منطقه از آن سود خواهند برد,امیرعبداللهیان: ما برای تأیید یک توافق خوب، قوی و پایدار آماده‌ایم، ولی نه به قیمت عبور از خط قرمز جمهوری اسلامی ایران، در صورت واقع بینی طرف آمریکایی، توافق در کوتاه مدت دست یافتنی است.,وزیر امور خارجه با بیان این‌که برای تأیید یک توافق خوب، قوی و پایدار آماده‌ایم، ولی نه به قیمت عبور از خط قرمز جمهوری اسلامی ایران، خاطرنشان کرد: در موضوع لغو تحریم‌ها هنوز به نقطه پایانی نرسیده‌ایم.به گزارش ایسنا، حسین امیرعبداللهیان وزیر امور خارجه بعد از دیدار با وزیر خارجه لبنان در نشست خبری مشترک حضور یافت و به سؤالات خبرنگاران پاسخ داد.وی در این نشست گفت: با توجه به تجربه ارزشمند دیپلماسی وزیر خارجه لبنان، در خصوص مذاکرات وین با هم گفتگو کردیم. معتقدیم طرف آمریکایی به جای بازی زمان و بازی با کلمات و اتلاف وقت باید رفتاری واقع بینانه و رویکردی درست را انتخاب کند.امیرعبداللهیان همچنین افزود: ما برای تأیید یک توافق خوب، قوی و پایدار آماده‌ایم، ولی نه به قیمت عبور از خط قرمز جمهوری اسلامی ایران، در صورت واقع بینی طرف آمریکایی، توافق در کوتاه مدت دست یافتنی است.رئیس دستگاه دیپلماسی خاطرنشان کرد:در صورت رسیدن به نقطه پایانی توافق همه کشور‌های منطقه از آن سود خواهند برد.وزیر خارجه در پاسخ به سؤالی در مورد سفر اخیرش به روسیه اظهار کرد: در گفتگو‌ها با لاوروف حامل پیام وزیر خارجه اوکراین برای مقامات روسیه بودم. طرف اوکراین خواستار توقف جنگ و گفتگو‌های سیاسی بود. مقامات روسیه از استقرار و ادامه گفتگو‌های سیاسی برای توقف جنگ و رسیدن به توافق استقبال کردند.به گزارش العالم وی همچنین گفت: در موضوع لغو تحریم‌ها هنوز به نقطه پایانی نرسیده‌ایم.                           ,https://www.asriran.com/003UUa
832199,۱۴۰۱/۰۱/۰۴,سیاسی,اولین مصاحبه روحانی بعد از ریاست جمهوری (فیلم),چگونگی تعلق واژه امام به بنیانگذار جمهوری اسلامی ایران از زبان روحانی را بدانید.,کد ویدیو  دانلود    فیلم اصلی                                     ,https://www.asriran.com/003UUZ
832198,۱۴۰۱/۰۱/۰۴,اجتماعی ,وزیر: حدود ۴۲ هزار نفر اول مهرماه وارد آموزش و پرورش می‌شوند,وزیر آموزش و پرورش با بیان اینکه دولت تلاش دارد بین مردم باشد و درد دل آن‌ها را گوش دهد، اظهارداشت: مردم بواسطه مشکلات ممکن است از ما عصبانی باشند که طبیعی است و باید با ملایمت برخورد کرد.,وزیر آموزش و پرورش با اشاره به تعیین تکلیف تعدادی از استخدامی‌های آموزش و پرورش از زمان روی کار آمدن دولت سیزدهم گفت: حدود ۴۲ هزار نفر اول مهرماه امسال وارد آموزش و پرورش می‌شوند.به گزارش ایرنا یوسف نوری پنجشنبه شب در جمع خانواده‌های شهدای فرهنگی و کارکنان آموزش و پرورش دزفول در سالن جلسات آموزش وپرورش دزفول افزود: برای استخدام حدود ۳۴ هزار نفر نیز فراخوان داده‌ایم که با جذب آن‌ها مشکل اشتغالشان برطرف می‌شود.وی با اشاره به دیگر اقدامات دولت سیزدهم گفت: پیگیری طرح رتبه بندی معلمان، افزایش دهک‌های یک تا سه، افزایش حقوق کارگران و افزایش کف حقوق در راستای عدالت و رفع مشکلات مردم در حال انجام است.وزیر آموزش و پرورش با بیان اینکه دولت تلاش دارد بین مردم باشد و درد دل آن‌ها را گوش دهد، اظهارداشت: مردم بواسطه مشکلات ممکن است از ما عصبانی باشند که طبیعی است و باید با ملایمت برخورد کرد.وی با اشاره به ظرفیت‌های دزفول و پرورش مفاخر فراوان در این شهرستان افزود: سال ۶۱ قبل از عملیات فتح المبین و قبل از عملیات محرم در دزفول بودم و مهمان نوازی مردم این شهر را دیدم.نوری یاد وخاطره شهیدان میهن اسلامی به ویژه شهیدان دزفول را گرامی داشت و بیان کرد: برخی از اعضای خانواده شهدا اکنون همکار ما هستند که باعث افتخار است.                           ,https://www.asriran.com/003UUY
832197,۱۴۰۱/۰۱/۰۴,محیط زیست,شکوفه‌های بهاری-کرمان (عکس),آمدن فصل بهار همراه با شکوفه‌های زیبایش نوید دهنده امید و طراوت است. شکوفه‌های بهاری بر شاخه‌های درختان سبز می‌شوند تا این پیام را نوید دهند که بهار توقف ناپذیر است.,,https://www.asriran.com/003UUX
832196,۱۴۰۱/۰۱/۰۴,فرهنگی/هنری,اسکار ۲۰۲۲ / تب و تاب هالیوود برای شب موعود,مراسم اسکار با وجود کاهش تماشاگران تلویزیونی آن همچنان پس از مسابقه سالانه فوتبال آمریکایی «سوپر بول» پربیننده‌ترین برنامه تلویزیونی در آمریکا است.,"مراسم اهدای جوایز اسکار ۲۰۲۲ در حالی یکشنبه شب برگزار خواهد شد که مراسم سال گذشته به دنبال شیوع ویروس کرونا تحت الشعاع این همه‌گیری قرار گرفت.
 
نود و چهارمین دوره اهدای این جوایز قرار است امسال بنا به سنت گذشته در سالن تئاتر دالبی در لس‌آنجلس برگزار شود. با این حال مراسم یکشنبه شب مشخص خواهد کرد که کاهش هیجان و تب و تاب برای مراسم اسکار که سال گذشته مشهود بود تنها امری موقتی و ناشی از محدودیت‌های وضع شده برای جلوگیری از شیوع ویروس کرونا بوده یا از حالا به بعد این روند ادامه خواهد یافت.
 
مراسم اسکار با وجود کاهش تماشاگران تلویزیونی آن همچنان پس از مسابقه سالانه فوتبال آمریکایی «سوپر بول» پربیننده‌ترین برنامه تلویزیونی در آمریکا است.
 
طبق برنامه قرار است بیانسه و بیلی آیلیش، دو خواننده مطرح آمریکایی در مراسم یکشنبه شب بر روی صحنه هنرنمایی کنند.
 
رقابت «نتفلیکس» و «اپل تی‌وی پلاس» برای کسب جایزه بهترین فیلم
دو فیلمی که نامشان بیشتر از دیگران به عنوان برنده احتمالی جایزه اسکار بهترین فیلم مطرح شده است از سوی دو غول حوزه استریمینگ (ارائه‌‌دهنده خدمات فیلم و سریال جاری) تهیه شده‌اند. بخت اصلی فیلم «قدرت سگ» با ۱۲ نامزدی در زمینه‌های مختلف جوایز اسکار است. این فیلم از سوی شرکت «نتفلیکس» تهیه و پخش شده است.
 
فیلم «کودا» که «اپل تی‌وی پلاس» آن را تهیه کرده یکی از دو فیلمی است که بخت زیادی برای کسب جایزه اسکار بهترین فیلم دارند. اگر جایزه بهترین فیلم به «کودا» برسد این اثر به اولین فیلمی تبدیل خواهد شد که از سال ۱۹۳۲ تاکنون با کسب کمتر از چهار نامزدی برای جوایز اسکار در نهایت برنده جایزه بهترین فیلم می‌شود.
 
فیلم «گرند هتل» در سال ۱۹۳۲ پس از نامزدی برای تنها یک جایزه اسکار در نهایت برنده جایزه بهترین فیلم در مراسم آکادمی آن سال شد. «کودا» امسال نامزد دریافت سه جایزه اسکار شده است.
 
اعلام نامزدهای جایزه اسکار؛ «قدرت سگ» صدرنشین شد
 
مراسم اسکار ۲۰۲۱ با فاصله‌گذاری اجتماعی و اجرای محدودیت در زمینه تعداد شرکت‌کنندگان برگزار شد. هرچند وضعیت شیوع ویروس کرونا این روزها قابل مقایسه با وضعیت سال گذشته نیست اما همچنان این احتمال وجود دارد که نام این ویروس و بیماری «کووید ۱۹» به دفعات در طول مراسم و گزارش‌ها از حواشی قبل و بعد از آن شنیده شود.
 
به عنوان مثال ون موریسون، خواننده اهل ایرلند شمالی به دلیل مخالفتش با واکسیناسیون اجباری در برابر بیماری «کووید ۱۹» در مراسم اسکار بر روی صحنه نخواهد رفت. این در حالی است که ترانه او نامزد دریافت جایزه بهترین موسیقی متن برای فیلم «بلفاست» شده است.
 
مهمانان، نامزدها و خبرنگارانی که در مراسم اسکار ۲۰۲۲ شرکت می‌کنند باید علاوه بر گواهی واکسیناسیون نتیجه منفی دو تست کرونای خود را نیز ارائه کنند. این در حالی است که مجری‌ها، اهداکنندگان جوایز و هنرمندانی که بر روی صحنه خواهند رفت ملزم به ارائه گواهی واکسیناسیون نیستند اما باید نتیجه تست کرونای آنها دو بار منفی شده باشد.
 
بخت ویل اسمیت برای کسب اولین جایزه اسکار
 
ویل اسمیت، هنرپیشه آمریکایی که پیش از این دو بار نامزد دریافت جایزه اسکار شده بود امسال برای سومین بار نامزد این جایزه شده است. او برای ایفای نقش پدر ونوس و سرنا ویلیامز در فیلم «شاه ریچارد» نامزد دریافت اسکار بهترین بازیگر مرد در نقش اصلی است.
 
اری وگنر، فیلمبردار «قدرت سگ» نیز از جمله سینماگرانی است که می‌تواند در جریان مراسم یکشنبه شب تاریخ‌ساز شود. او در صورت کسب جایزه اسکار بهترین فیلمبرداری اولین زنی خواهد بود که این جایزه را کسب می‌کند.
 
جین کمپیون، کارگردان «قدرت سگ» اولین زنی است که دو بار نامزد دریافت جایزه بهترین کارگردانی شده است. او در صورت کسب جایزه اسکار سومین زنی خواهد بود که برنده جایزه اسکار بهترین کارگردانی می‌شود.
 
از سوی دیگر تروی کوتسور، بازیگر فیلم «کودا» که نامزد بهترین بازیگر مرد در نقش مکمل شده است در صورت کسب جایزه اسکار اولین بازیگر مرد ناشنوا خواهد بود که برنده این جایزه می‌شود.
 
آریانا دبوس، بازیگر فیلم «داستان وست ساید» نیز در صورت کسب جایزه اسکار اولین هنرپیشه «آفریقایی-لاتین‌تبار» و دگرباش خواهد بود که برنده جایزه اسکار بهترین بازیگر زن در نقش مکمل می‌شود. ریتا مورنو ۶۰ سال پیش برای ایفای همین نقش در اولین فیلم «داستان وست ساید» برنده جایزه اسکار شده بود.
 
این نقش در صورت اهدای جایزه اسکار به آریانا دبوس سومین نقشی در تاریخ سینما خواهد بود که دو نفر برای آن برنده جایزه اسکار شده‌اند. پیش از این تنها هیث لجر و یواکین فینیکس برای ایفای نقش جوکر و مارلون براندو و رابرت دنیرو برای ایفای نقش ویتو کورلئونه برنده جایزه اسکار شده بودند.                           ",https://www.asriran.com/003UUW
