News_ID,Date,Subject,Title,Summary,Body,Short_link
834920,۱۴۰۱/۰۱/۲۴,اجتماعی ,مخالفت پلیس با برگزاری نمایشگاه کتاب در مصلی تهران,دیروز هم رییس کمیسیون حمل و نقل شورای شهر تهران اعلام کرد که وزارت ارشاد باید تصمیم برگزاری نمایشگاه کتاب در مصلی را فوری مورد بازنگری قرار دهد.,"رئیس پلیس راهنمایی و رانندگی تهران بزرگ گفت: پلیس با برگزاری نمایشگاه‌های پرمخاطبی نظیر کتاب در محل‌هایی مثل مصلی و نمایشگاه بین المللی مخالف است.
سردار حمیدی گفت: بار‌ها در جلسات مختلف تأکید کردیم که باید برای مدیریت ترافیک و همچنین کاهش آلودگی هوا در زمان و محل برگزاری نمایشگاه‌های پرمخاطب تجدیدنظر صورت گیرد.
دیروز هم رییس کمیسیون حمل و نقل شورای شهر تهران اعلام کرد که وزارت ارشاد باید تصمیم برگزاری نمایشگاه کتاب در مصلی را فوری مورد بازنگری قرار دهد.
در صحن شورای شهر تهران تصویب شده است که نمایشگاه‌های بزرگ و پرمخاطب در نمایشگاه شهر آفتاب برگزار شوند.                           ",https://www.asriran.com/003VCS
834919,۱۴۰۱/۰۱/۲۴,سیاست خارجی,سخنگوی دولت: همزیستی ایرانی‌ها با افغانستانی‌ها سدی برابر توطئه‌های تفرقه‌آمیز است,‏بهادری جهرمی در حساب کاربری خود در توییتر نوشت: سابقه تمدنی و فرهنگی مشترک ایران و ‎افغانستان، سد محکمی در برابر توطئه هاست.,"سخنگوی دولت گفت: سالها همزیستی محبت آمیز مردم ایران با مهاجران افغانستانی، سد محکمی در برابر توطئه‌های تفرقه آمیز علیه دو ملت است.
علی بهادری جهرمی در حساب کاربری خود در توییتر نوشت:
«‏سابقه تمدنی و فرهنگی مشترک ایران و ‎افغانستان، یکی شدن خون ها در برابر تجاوز و اشغالگری در میادینی همچون دفاع مقدس و دفاع از حرم و سالها همزیستی محبت آمیز مردم ایران با مهاجران افغانستانی، سد محکمی در برابر توطئه های تفرقه آمیز علیه دو ملت است.»                           ",https://www.asriran.com/003VCR
834917,۱۴۰۱/۰۱/۲۴,ورزشی,گل تماشایی حسین طیبی به قرقیزستان (فیلم),تیم ملی فوتسال ایران در آخرین دیدار مرحله مقدماتی قهرمانی آسیا با نتیجه ۸ بر یک از سد قرقیزستان عبور کرد.,کد ویدیو  دانلود    فیلم اصلی                                     ,https://www.asriran.com/003VCP
834874,۱۴۰۱/۰۱/۲۴,بین الملل,زندگی چینی‌ها در قرنطینه (عکس),پایبندی دولت چین به سیاست «صفر کردن کرونا»، شانگهای را مشمول قرنطینه کامل کرده است. این شهر وارد هفته سوم قرنطینه کامل شده است.,منبع: مشرق                           ,https://www.asriran.com/003VBi
834867,۱۴۰۱/۰۱/۲۴,اجتماعی ,با یه حرکت ساده بفهمید تسمه‌تایم پاره شده است یا خیر؟ (+فیلم),پاره شدن تسمه‌تایم بیشتر در حال حرکت مخصوصا در جاده رخ میدهد، پس اگر در حال حرکت ماشین خاموش شد به هیچ عنوان مجددا استارت نزنید.,"تسمه تایم یا تسمه تایمینگ قسمتی از پیشرانه احتراق داخلی است که زمان‌بندی سوپاپ‌های پیشرانه را کنترل می‌کند. در بعضی از پیشرانه‌ها، برای این کار به‌جای تسمه از چرخ‌دنده استفاده می‌شود. بسیاری از پیشرانه‌های پیشرفته خودروهای تولیدی از تسمه تایم برای همگام‌سازی میل‌لنگ و میل‌بادامک استفاده می‌کنند. بعضی از پیشرانه‌ها، به‌ویژه ‌پیشرانه‌های مجهز به بادامک در طرح‌های بلوک سیلندر، از چرخ‌دنده برای رانش میل‌بادامک استفاده می‌کردند؛ اما این برای طراحی‌های میل‌سوپاپ‌رو (OHC) نادر بود.
استفاده از تسمه یا زنجیر تایمینگ به‌جای سیستم محرک دنده‌ای، به طراحان پیشرانه کمک می‌کند میل‌بادامک را دورتر از میل‌لنگ قرار دهند و در پیشرانه‌های دارای چند میل‌بادامک، یک تسمه یا زنجیر تایمینگ امکان قرارگیری میل‌بادامک را در فاصله بیشتر فراهم می‌کند.
  

    کد ویدیو  دانلود    فیلم اصلی          
پاره شدن تسمه‌تایم بیشتر در حال حرکت مخصوصا در جاده رخ میدهد، پس اگر در حال حرکت ماشین خاموش شد به هیچ عنوان مجددا استارت نزنید.
با یه حرکت ساده میتوانید بفهمید تسمه پاره شده است یا خیر و از چند میلیون تومان خسارت به موتور در هنگام استارت زدن جلوگیری کنید.
اگر این اتفاق افتاد به هیچ عنوان استارت نزنید. ماشین را در دنده یک گذاشته و هُل داده اگر ماشین در دنده بود و حرکت کرد تسمه پاره شده و باید یدک کش خبر کنید و اگر ماشین حرکت نکرد یعنی تسمه سالم است.
منبع: زومیت                           ",https://www.asriran.com/003VBb
834899,۱۴۰۱/۰۱/۲۴,عمومی,معرفی انواع بیمه خودرو، فرق بیمه شخص ثالث و بیمه بدنه چیست؟,,"اگر بخواهیم پر فروش‌ترین بیمه‌های ایران را مطرح کنیم، بدون شک بیمه‌های خودرو در صدر این لیست قرار می‌گیرند. در این مطلب سعی می‌کنیم با معرفی بیمه شخص ثالث و بیمه بدنه (و بیان نکات مربوط به آن‌ها) اطلاعات جامع و خوبی را در این زمینه به شما ارائه کنیم.

بیمه شخص ثالث خودرو چیست؟
بیمه شخص ثالث خودرو یک بیمه اجباری برای تمامی خودروها بوده که تمامی دارندگان خودرو باید حتماً آن را تهیه کنند. در این بیمه به زبان ساده شخص ثالث می‌تواند هر فردی به جز راننده مقصر باشد که در تصادف یا سانحه رانندگی مشکل‌دار شده است. این بیمه خودرو می‌تواند سقف تأمین خسارت‌های متفاوتی داشته باشد که در هنگام خرید باید به آن توجه کنید، اما به صورت معمول سقف پوشش جانی این بیمه به اندازه یک دیه کامل ماه حرام (که در آن سال تعیین شده است!) می‌باشد.
سقف پوشش مالی بیمه شخص ثالث برای خسارت‌هایی که به خودرو فرد خسارت دیده داده می‌شود، دارای حداقل‌هایی است که نمی‌تواند از آن هرساله کمتر باشد. شما هرچقدر هزینه بیشتری پرداخت کنید، می‌توانید این مبلغ را برای بیمه خود افزایش دهید تا در صورت بروز هرگونه حادثه قادر باشید با کمک بیمه خسارت طرف مقابل را پرداخت کنید.
هزینه و حق بیمه شخص ثالث خودرو چقدر است؟

حقیقت این است که بیمه شخص ثالث یک مبلغ ثابت برای هر خودرو و هر فردی ندارد، بلکه عوامل زیادی هستند که در این حوزه می‌تواند تأثیرگذار باشد. عوامل مختلفی همچون تعداد دفعات تصادف با خودرو، نوع خودرو، حق بیمه‌ای که اداره کل بیمه هر ساله تعیین می‌کند، نوع ماشین و ... می‌توانند در تعیین هزینه حق بیمه خودرو تأثیرگذار باشند.
اگر علاقه‌مند به محاسبه بیمه شخص ثالث خودرو باشید، می‌توانید با کمک سامانه ازکی که به عنوان یکی از بزرگ‌ترین پلتفرم‌های انتخاب بیمه فعالیت می‌کند، اقدام کنید. با کمک ازکی می‌توانید به راحتی  در کمترین زمان هزینه بیمه شخص ثالث خودروی خود را با توجه به سوابقتان تعیین کرده و اقدام به خرید یا تمدید بیمه خود کنید.
بیمه بدنه ماشین به زبان ساده
همان‌طور که احتمالاً در بالاتر هم مشاهده کردید، بیمه شخص ثالث تنها خسارات مالی فردی غیر از راننده مقصر را می‌تواند متحمل شده و پرداخت کند. اگر طی تصادف یا حادثه‌ای، خودرو شما آسیب ببیند، چه کاری باید انجام دهید؟ آیا راهی برای جبران خسارت شما وجود دارد؟ جواب بله است!
بیمه بدنه در واقع به همین علت و دلیل طراحی شده که صاحبان خودروهایی که در حادثه‌های رانندگی مقصر شناخته می‌شوند، بتوانند از این پوشش بیمه‌ای استفاده کرده و خسارت‌های خودرو خود را جبران کنند.
تفاوت اصلی در قیمت‌گذاری این نوع بیمه با بیمه شخص ثالث در این است که مبلغ این نوع بیمه یک فاکتور اصلی دارد و آن هم قیمت خودروی شماست! البته عوامل دیگری همچون تعداد دفعات تصادف و سانحه هم در این قیمت گذاری بی تأثیر نیستند، اما عامل اصلی را این موضوع می‌شناسیم.
پوشش بیمه بدنه خودرو شامل چه چیزهایی می‌شود؟

با کمی گشت و گذار در بازار بیمه متوجه می‌شوید که چند دسته بندی اصلی در پوشش بیمه بدنه وجود دارد. به عنوان مثال در هنگامی که خودروی شما به سرقت برود یا در تصادف دچار حادثه شود، می‌توانید از بیمه بدنه خودرو کمک بگیرید، اما این ها تمام دسته بندی‌ها نیستند!
مواردی همچون حوادث آتش سوزی، ایجاد خسارت به لاستیک‌های ماشین، انفجار خودرو و حتی برخورد صاعقه به وسیله نقلیه هم جزو دسته بندی‌های اصلی محسوب می‌شوند. شما می‌توانید با پرداخت هزینه‌های بیشتر موارد دیگری همچون پوشش شکستن شیشه، اثرات رنگ‌ها، مواد شیمیایی و اسید پاشی (که جزو موارد نادر هستند!) و ... را هم تحت پوشش خودرو خود قرار دهید.
شما می‌توانید با استعلام بیمه بدنه از طریق سایت ازکی به راحتی راجع به شرکت‌های بیمه‌ای که این خدمت را ارائه می‌کنند، اطلاع کسب کرده و در این راستا یک تصمیم گیری جامع و کامل داشته باشید. در نظر بگیرید که ازکی می‌تواند با مقایسه شرکت‌های بیمه در این راستا به شما کمک کند که به سرعت بهترین شرکت بیمه متناسب با شرایط خود را پیدا کرده و از آن خرید کنید.
دیگر نیازی به نسخه فیزیکی بیمه نامه ندارید!
از خرداد ماه سال 99 یعنی حدود دو سال گذشته، این قانون توسط بیمه مرکزی اعلام شد که دیگر نیازی به نسخه فیزیکی بیمه نامه نیست و شما می‌توانید با همراه داشتن نسخه الکترونیکی، کارهای مربوط به بیمه را انجام دهید.
این موضوع نشان می‌دهد که خرید از سایت‌هایی که امکان خرید آنلاین را برای ما فراهم می‌کنند نه تنها روند و سرعت دریافت بیمه نامه را افزایش داده، بلکه نیازی به حضور فیزیکی شما برای دریافت بیمه نامه نخواهد بود.
خرید آنلاین بیمه خودرو به چه صورت خواهد بود؟
شما می‌توانید برای خرید انواع بیمه خودرو و همچنین سایر انواع پوشش‌های بیمه‌ای، همچون بیمه درمان تکمیلی انفرادی، عمر، مسافرتی و حتی آتش سوزی از ازکی کمک بگیرید. ازکی یک شرکت بیمه نیست، اما می‌تواند تمامی خدمات مورد نیاز شما در این حوزه را همچون انتقال تخفیف بیمه بدنه را برای شما انجام دهد.
اگر علاقه‌مندید که همین الان بیمه خود را تهیه یا تمدید کرده به سایت ازکی مراجعه کنید. تیم پشتیبانی ازکی به صورت 24 ساعته در خدمت شماست.                           ",https://www.asriran.com/003VC7
834916,۱۴۰۱/۰۱/۲۴,سیاسی,به جای «حیوانات نجس العین» به فکر آدم‌ها باشید!,از خودتان پرسیده‌اید که مردم چگونه زندگی خود را در زمانه گرانی و تورم مدیریت می‌کنند؟ اصلا خودتان را جای مردم گذاشته‌اید که ببینید، سرپرست یک خانواده ماه را چگونه به پایان می‌رساند؟ صورت سرخ مردم را نمی‌بینید؟,"عصرایران؛ مصطفی داننده- نوروزی نماینده رباط کریم در مجلس خطاب به هیات رئیسه گفت: «دو سال قبل طرحی را تحت عنوان ""ممنوعیت گرداندن حیوانات نجس العین در شهر"" را تقدیم هیات رئیسه کردیم اما متاسفانه تاکنون در دستورکار صحن قرار نگرفته است.»
عجیب نیست که نماینده مجلس در اوج مشکلات کشور و مردم به فکر طرحی است که هیچ کمکی به وضعیت زندگی مردم در شرایط حاضر نمی‌کند. دردآور این است که نوروزی، نماینده یکی از ضعیف‌ترین نقاط پایتخت از لحاظ اقتصادی است. بهتر نیست او و دیگر نمایندگان مجلس به جای مطرح کردن مسائل حاشیه‌ای به اصل مشکلات کشور بپردازند.
همین چند روز پیش نظری نماینده خمینی شهر در مجلس گفته بود:« بیش از ۸ میلیون خانوار در سطح کشور مستاجر بوده و بخش قابل ملاحظه ای از آنها قشر کم درآمد و ضعیفی هستند که برای پرداخت رهن و اجاره با مشکل مواجه هستند. در حال حاضر به دلیل افزایش افسارگسیخته اجاره بها حدود ۷۰ درصد درآمد یک خانوار صرف پرداخت هزینه مسکن می‌شود.»
خوب بهتر نیست به جای «حیوانات نجس العین» به مشکلات مستاجرها بپردازید و از خود بپرسید که مستاجرها چگونه می‌توانند در سال مبلغ قابل توجهی را پس‌انداز کنند تا روی پیش پول سال آینده‌‎شان بگذارند. آنهم در شرایطی که پس‌انداز کردن بیشتر شبیه یک طنز تلخ است. همین که حقوق تا آخر ما برسد باید خدا را شکر کرد.
از خودتان پرسیده‌اید که مردم چگونه زندگی خود را در زمانه گرانی و تورم مدیریت می‌کنند؟ اصلا خودتان را جای مردم گذاشته‌اید که ببینید، سرپرست یک خانواده ماه را چگونه به پایان می‌رساند؟ صورت سرخ مردم را نمی‌بینید؟
میکروفون جلوی خود را روشن کنید و با صدای بلند فریاد بزنید که مردم چگونه خودرو بخرند؟ چرا باید یک ایرانی برای پراید 200 میلیون تومان پرداخت کند؟ از کدام بانک می‌شود این همه وام گرفت تا یک پراید خرید؟
از گرانی گوجه، گوشت، مرغ، برنج و ... بگویید. شما به مجلس رفته‌اید تا صدای همه مردم باشید و مشکلات آنها را پیگیری کنید.
حضرات نماینده، اعضای محترم دولت و همه آنهایی که دستی در آتش اداره کشور دارید، وضع زندگی مردم خوب نیست. خیلی از آنها مثل کسانی شده‌اند که وسط دریا افتاده‌ و از دست‌وپا زدن و شنا کردن خسته‌ شده‌اند و دیر نباشد که خود را آماده غرق شدن کنند.
شما که خود را مردمی معرفی و می‌گویید کارهایی که می‌کنیم به نفع مردم است، چرا در واقعیت قدمی برای بهتر شدن زندگی مردم بر نمی‌دارید؟ نمایندگان محترم پارلمان بگویند از وقتی آمدند چه تغییر مثبتی در زندگی مردم ایجاد کرده‌اند.بازهم تاکید می‌کنم به جای «حیوانات نجس العین» به مشکلات آدم‌ها بپردازید که دیگر جانی در بدن ندارند.                           ",https://www.asriran.com/003VCO
834918,۱۴۰۱/۰۱/۲۴,اخبار سلامت,فوت ۳۳ تن و شناسایی ۲۳۵۶ بیمار جدید کرونا در کشور,در حال حاضر ۳۴ شهرستان در وضعیت قرمز، ۶۹ شهرستان در وضعیت نارنجی، ۲۹۱ شهرستان در وضعیت زرد و ۵۴ شهرستان در وضعیت آبی قرار دارند.,"در طول ۲۴ ساعت گذشته، ۳۳ بیمار کووید۱۹ در کشور جان خود را از دست دادند و مجموع جان باختگان این بیماری به ۱۴۰ هزار و ۷۱۱ نفر رسید.
بر اساس اعلام مرکز روابط عمومی و اطلاع رسانی وزارت بهداشت، از دیروز تا امروز ۲۴ فروردین ماه ۱۴۰۱ و بر اساس معیارهای قطعی تشخیصی، ۲هزار و ۳۵۶ بیمار جدید مبتلا به کووید۱۹ در کشور شناسایی شد که ۳۱۱ نفر از آنها بستری شدند.
بر این اساس مجموع بیماران کووید۱۹ در کشور به ۷ میلیون و ۱۹۹ هزار و ۸۶۱ نفر رسید.
متاسفانه در طول ۲۴ ساعت گذشته، ۳۳ بیمار کووید۱۹ جان خود را از دست دادند و مجموع جان باختگان این بیماری به ۱۴۰ هزار و ۷۱۱ نفر رسید.
خوشبختانه تا کنون ۶ میلیون و ۹۳۰ هزار و ۵۰۹ نفر از بیماران، بهبود یافته و یا از بیمارستان‌ها ترخیص شده‌اند.
یک هزار و ۳۷۶ نفر از بیماران مبتلا به کووید۱۹ در بخش‌های مراقبت‌های ویژه بیمارستان‌ها تحت مراقبت قرار دارند.
تا کنون ۵۰ میلیون و ۱۹۵ هزار و ۶۳۲ آزمایش تشخیص کووید۱۹ در کشور انجام شده است.
در حال حاضر ۳۴ شهرستان در وضعیت قرمز، ۶۹ شهرستان در وضعیت نارنجی، ۲۹۱ شهرستان در وضعیت زرد و ۵۴ شهرستان در وضعیت آبی قرار دارند.                           ",https://www.asriran.com/003VCQ
834913,۱۴۰۱/۰۱/۲۴,فناوری و IT,استفاده نیرو‌های حشدالشعبی عراق از پهپاد ایرانی شاهد ۱۲۹ (فیلم),ویدئویی جالب از استفاده نیرو‌های حشدالشعبی عراق از پهپاد ایرانی شاهد ۱۲۹ برای هدف قرار دادن مقر‌ها و ادوات نظامی گروه تروریستی داعش ببینید.,کد ویدیو  دانلود    فیلم اصلی                                     ,https://www.asriran.com/003VCL
834915,۱۴۰۱/۰۱/۲۴,سیاسی,نماینده مجلس: کمیسیون جدیدی برای طرح صیانت تشکیل نمی‌شود/ فرآیند گذشته در بررسی تکرار نخواهد شد,شفافیت در بررسی این طرح بسیار مهم است. اما اکنون تصمیم با هیات رئیسه مجلس است که این طرح به چه شکلی و در چه زمانی مورد بررسی قرار گیرد. ما نیز منتظر نظر هیات رئیسه خواهیم ماند.,"یک عضو کمیسیون امورداخلی کشور و شوراها در مجلس، تاکید کرد: فرآیند گذشته در بررسی طرح صیانت تکرار نخواهد شد و اگر کمیسیون جدیدی نیز شکل بگیرد صرفا برای جمع بندی نهایی گزارش طرح و آماده سازی آن برای ارائه به صحن مجلس است.

جلال رشیدی کوچی در گفت و گو با ایسنا، با اشاره به رای استمزاجی مجلس در جلسه غیرعلنی برای بازگشت طرح صیانت از حقوق کاربران در فضای مجازی به صحن مجلس و سرنوشت پیش روی این طرح، بیان کرد: بنده بارها تاکید کردم مهمترین مزیت بررسی این طرح در صحن مجلس، شفافیت آن خواهد بود و در خصوص هر بند آن به جای اینکه ۲۰ نفر نظر بدهند، ۲۹۰ نفر از نمایندگان نظر خود را ارائه خواهند کرد.
وی در ادامه اظهار کرد: شفافیت در بررسی این طرح بسیار مهم است. اما اکنون تصمیم با هیات رئیسه مجلس است که این طرح به چه شکلی و در چه زمانی مورد بررسی قرار گیرد. ما نیز منتظر نظر هیات رئیسه خواهیم ماند.
نماینده مردم مرودشت در مجلس شورای اسلامی، تصریح کرد: قطعا دیگر کمیسیونی به معنای گذشته برای بررسی این طرح ذیل اصل ۸۵ قانون اساسی تشکیل نخواهد شد و اگر هم کمیسیون جدیدی تشکیل شود، برای جمع بندی طرح و ارایه گزارش آن برای رسیدگی در صحن مجلس خواهد بود. فرآیندی که در بررسی این طرح در گذشته طی شد دیگر تکرار نمی شود.
                           ",https://www.asriran.com/003VCN
